genre,size,price,rating,review_count,downloads
0,7.9,0,4.3,5985952,4
1,57,0,4.3,3314326,4
1,26,0,4.3,2905297,4
2,15,0,4.4,4663234,4
2,49,0,4.4,2069417,4
2,57,0,4.3,1560378,4
2,48,0,4.4,1144240,4
2,7.9,0,4.2,1045460,4
2,54,0,4.4,18471291,4
2,10,0,4,1300957,4
2,122,0,4.3,4171990,4
2,84,0,4.3,3447814,4
2,7.9,0,4.2,1045730,4
2,48,0,4.4,1144431,4
2,34,0,4.4,3286041,4
2,57,0,4.3,1560730,4
2,49,0,4.4,2070009,4
2,50,0,4.4,3681241,4
2,42,0,4.5,4316001,4
2,42,0,4.4,4664657,4
7,51,0,4.3,14103144,4
7,67,0,4.3,4189137,4
7,21,0,4.3,8746383,4
7,78,0,4.4,6817673,4
7,62,0,4.4,6224964,4
7,13,0,4.4,8380762,4
7,77,0,4.4,4337836,4
7,50,0,4.3,2592231,4
7,61,0,4.4,9410940,4
12,31,0,4.3,1520966,4
12,2.4,0,4,772768,4
12,8.5,0,4.3,1097199,4
13,122,0,4.4,4114169,4
13,10,0,4.5,3766812,4
13,17,0,4.2,1622120,4
16,13,0,4.1,847059,4
16,34,0,4.5,6095182,4
16,13,0,4.1,847791,4
16,34,0,4.5,6108122,4
16,6.2,0,4.1,1164721,4
17,55,0,4.6,23208027,4
18,56,0,4.5,5111726,4
0,46,0,4.1,522915,3
0,21,0,4.3,2645459,3
0,13,0,4.3,200384,3
0,24,0,4.2,1640149,3
0,17,0,3.8,985767,3
0,21,0,4.3,2652062,3
0,56,0,4.3,2421132,3
0,49,0,4.5,3431130,3
0,83,0,4.3,1578863,3
0,49,0,4.4,3672063,3
0,89,0,4.6,5906920,3
0,7.2,0,4.2,487667,3
0,42,0,4.2,353994,3
0,5.5,0,4.4,366246,3
0,6.6,0,4.5,140204,3
0,26,0,4.3,1256583,3
0,23,0,4.2,529844,3
0,14,0,3.9,352329,3
0,89,0,4.2,270340,3
0,16,0,4,185845,3
0,53,0,3.6,164628,3
0,17,0,3.9,99163,3
0,21,0,3.8,195341,3
0,41,0,4.1,181398,3
0,53,0,4.1,103002,3
0,3.7,0,4.5,286773,3
0,45,0,4.5,1906230,3
0,46,0,4.1,523478,3
0,15,0,4.2,302659,3
0,284,0,4.2,251013,3
0,48,0,4.5,1047887,3
0,48,0,4.3,1017524,3
0,30,0,4.2,275586,3
0,625,0,4.3,1266781,3
0,18,0,4.1,311522,3
0,46,0,4.2,336099,3
0,47,0,4.3,345224,3
0,60,0,4.3,1519890,3
0,14,0,4.6,150537,3
0,2,0,3.4,45497,3
0,37,0,4,205219,3
0,22,0,3.8,256406,3
0,295,0,4.3,648123,3
0,44,0,4.4,243447,3
0,58,0,3.9,170517,3
0,35,0,4.2,314415,3
0,1.6,0,4.5,1018236,3
0,48,0,4.2,655525,3
0,49,0,3.7,154519,3
0,31,0,4.3,937511,3
0,52,0,4.6,1062718,3
0,34,0,4.4,656502,3
0,49,0,4.5,696339,3
0,335,0,4.5,1155493,3
0,8.2,0,3.6,111334,3
0,4,0,4,187109,3
0,58,0,4.3,717956,3
0,7.8,0,3.8,51025,3
0,346,0,4.3,1568743,3
0,12,0,4.5,1963969,3
0,22,0,4.3,567330,3
0,12,0,4.4,1889616,3
0,77,0,4.3,835338,3
0,95,0,4.2,581512,3
0,85,0,4.2,998532,3
0,20,0,4.4,144960,3
0,39,0,4.3,440108,3
0,9.9,0,3.8,97977,3
0,51,0,4.2,207481,3
0,38,0,3.8,90735,3
0,18,0,4.4,531365,3
0,10,0,4.2,782787,3
0,3.1,0,4.4,200999,3
0,94,0,4.4,1882637,3
0,10,0,4.4,1410590,3
0,33,0,3.8,72389,3
0,50,0,3.8,153222,3
0,11,0,4.3,342791,3
0,11,0,4.2,1161693,3
0,106,0,4,380478,3
0,50,0,3.8,365057,3
0,52,0,4.3,1049548,3
0,37,0,3.9,341488,3
0,154,0,4.5,1176112,3
0,277,0,4.4,1629358,3
0,277,0,4.2,171625,3
0,20,0,4.2,209517,3
0,1.1,0,4.3,1424556,3
0,17,0,3.9,291044,3
0,741,0,4.4,1567775,3
0,57,0,4.4,419863,3
0,25,0,4.3,460512,3
0,73,0,3.6,225234,3
0,13,0,4.3,200492,3
0,84,0,4.2,267430,3
0,46,0,4.4,1088533,3
